date,orders,status,value,service_name 
9/1/2016,0,Other,36400,Uber_MART
9/1/2016,1420,Other,33083960,Uber_RIDE
9/1/2016,50,Other,1845480,Uber_SEND
9/1/2016,50,Other,1190280,Uber_SHOP
9/1/2016,0,Other,,Uber_TIX
10/1/2016,250,Cancelled,108576650,Uber_BOX
10/1/2016,20,Cancelled,3549000,Uber_CLEAN
10/1/2016,39150,Cancelled,690926600,Uber_FOOD
10/1/2016,10,Cancelled,973700,Uber_GLAM
10/1/2016,10,Cancelled,109200,Uber_KILAT
10/1/2016,1690,Cancelled,23623600,Uber_MART
10/1/2016,90,Cancelled,16565640,Uber_MASSAGE
10/1/2016,35840,Cancelled,877569420,Uber_RIDE
10/1/2016,2730,Cancelled,105245140,Uber_SEND
10/1/2016,14460,Cancelled,359102380,Uber_SHOP
10/1/2016,370,Cancelled,,Uber_TIX
10/1/2016,670,Completed,261310140,Uber_BOX
10/1/2016,170,Completed,27563900,Uber_CLEAN
10/1/2016,80880,Completed,1358165900,Uber_FOOD
10/1/2016,60,Completed,10000900,Uber_GLAM
10/1/2016,10,Completed,136500,Uber_KILAT
10/1/2016,2620,Completed,36636600,Uber_MART
10/1/2016,610,Completed,112738080,Uber_MASSAGE
10/1/2016,189170,Completed,4056925600,Uber_RIDE
10/1/2016,16630,Completed,612604720,Uber_SEND
10/1/2016,16500,Completed,390817700,Uber_SHOP
10/1/2016,10,Completed,,Uber_TIX
10/1/2016,30,Failed/Timeout,,Uber_TIX
10/1/2016,50,No Driver Found,46344935,Uber_BOX
10/1/2016,20,No Driver Found,3430700,Uber_CLEAN
10/1/2016,760,No Driver Found,15861300,Uber_FOOD
10/1/2016,20,No Driver Found,4495400,Uber_GLAM
10/1/2016,50,No Driver Found,9635080,Uber_MASSAGE
10/1/2016,910,No Driver Found,25303460,Uber_RIDE
10/1/2016,40,No Driver Found,1476020,Uber_SEND
10/1/2016,30,No Driver Found,973700,Uber_SHOP
11/1/2016,280,Cancelled,143598000,Uber_BOX
11/1/2016,10,Cancelled,2329600,Uber_CLEAN
11/1/2016,35850,Cancelled,631885800,Uber_FOOD
11/1/2016,10,Cancelled,1137500,Uber_GLAM
11/1/2016,10,Cancelled,109200,Uber_KILAT
11/1/2016,1590,Cancelled,22313200,Uber_MART
11/1/2016,50,Cancelled,9997260,Uber_MASSAGE
11/1/2016,68950,Cancelled,1571731980,Uber_RIDE
11/1/2016,5870,Cancelled,229387340,Uber_SEND
11/1/2016,13210,Cancelled,351629460,Uber_SHOP
11/1/2016,290,Cancelled,,Uber_TIX
11/1/2016,540,Completed,215364240,Uber_BOX
11/1/2016,120,Completed,19912620,Uber_CLEAN
11/1/2016,64580,Completed,1089069800,Uber_FOOD
11/1/2016,40,Completed,5651100,Uber_GLAM
11/1/2016,50,Completed,1037400,Uber_KILAT
11/1/2016,2320,Completed,32505200,Uber_MART
11/1/2016,370,Completed,72525180,Uber_MASSAGE
11/1/2016,370310,Completed,7729862140,Uber_RIDE
11/1/2016,33890,Completed,1239345380,Uber_SEND
11/1/2016,16780,Completed,412250020,Uber_SHOP
11/1/2016,10,Completed,,Uber_TIX
11/1/2016,30,Failed/Timeout,273000,Uber_TIX
11/1/2016,20,No Driver Found,12871040,Uber_BOX
